bin;brand;issuer
375117;AMERICAN EXPRESS;RUSSKIY STANDARD
400079;VISA;ZHELDORBANK JSB
400171;VISA;JS BANK ROSEVROBANK
400287;VISA;JSCB SOYUZ
400627;VISA;ZHELDORBANK JSB
400628;VISA;EVROFINANCE MOSNARBANK
400648;VISA;CB CENTER-INVEST
400842;VISA;ZHELDORBANK JSB
400843;VISA;ZHELDORBANK JSB
400881;VISA;JSCB SOYUZ
401734;VISA;ZHELDORBANK JSB
401760;VISA;OJSC CB SOLIDARNOST
401872;VISA;CB SUDOSTROITELNY BANK
401916;VISA;JSCB SLAVIANSKY BANK
401917;VISA;BANQUE SOCIETE GENERALE VOSTOK (JSC)
402107;VISA;ZHELDORBANK JSB
402177;VISA;ZAO RAIFFEISENBANK
402178;VISA;ZAO RAIFFEISENBANK
402179;VISA;ZAO RAIFFEISENBANK
402180;VISA;ZAO RAIFFEISENBANK
402240;VISA;ZHELDORBANK JSB
402311;VISA;AKB INVESTSBERBANK CB OF INVESTMENTS ANDSAVINGS
402312;VISA;AKB INVESTSBERBANK CB OF INVESTMENTS ANDSAVINGS
402313;VISA;OJSC OTP BANK
402319;VISA;CJSC CB RUSSIAN INDUSTRIAL BANK
402320;VISA;CJSC CB RUSSIAN INDUSTRIAL BANK
402321;VISA;CJSC CB RUSSIAN INDUSTRIAL BANK
402322;VISA;CJSC CB RUSSIAN INDUSTRIAL BANK
402324;VISA;OJSC JSCB CONVERSBANK-MOSCOW
402326;VISA;JSCB MOSCOW INDUSTRIAL BANK
402327;VISA;JSCB MOSCOW INDUSTRIAL BANK
402328;VISA;JSCB MOSCOW INDUSTRIAL BANK
402340;VISA;JSB SOBINBANK
402369;VISA;EVROFINANCE MOSNARBANK
402429;VISA;JSC GLOBEXBANK
402453;VISA;BANQUE SOCIETE GENERALE VOSTOK (JSC)
402457;VISA;JSCB NOVIKOMBANK
402502;VISA;ZHELDORBANK JSB
402507;VISA;JSCB PROMSVYAZBANK (CJSC)
402532;VISA;JSC GE MONEYBANK
402533;VISA;JSC GE MONEYBANK
402534;VISA;JSC GE MONEYBANK
402538;VISA;B AND N BANK (JSC)
402549;VISA;JSCB MOSCOW INDUSTRIAL BANK
402578;VISA;BANCA INTESA
402580;VISA;ZHELDORBANK JSB
402698;VISA;STAVROPOLPROMSTROYBANK OAO
402727;VISA;JSCB SAROVBUSINESSBANK
402728;VISA;JSCB SAROVBUSINESSBANK
402729;VISA;JSCB SAROVBUSINESSBANK
402743;VISA;CORPORATE FINANCE BANK
402744;VISA;CORPORATE FINANCE BANK
402745;VISA;CORPORATE FINANCE BANK
402746;VISA;CORPORATE FINANCE BANK
402768;VISA;BANQUE SOCIETE GENERALE VOSTOK (JSC)
402805;VISA;CB MEZHREGIONBANK LLC
402877;VISA;JSCB TRANSCAPITALBANK
402909;VISA;JSCB NOVIKOMBANK
402910;VISA;JSCB NOVIKOMBANK
402911;VISA;JSCB NOVIKOMBANK
402919;VISA;CB GAZBANK
402920;VISA;CB GAZBANK
402921;VISA;CB GAZBANK
402922;VISA;BANK NA KRASNIKH VOROTAKH JSCB (RED GATES BANK)
402923;VISA;BANK NA KRASNIKH VOROTAKH JSCB (RED GATES BANK)
402924;VISA;BANK NA KRASNIKH VOROTAKH JSCB (RED GATES BANK)
402925;VISA;COMMERCIAL BANK MASTER-BANK
402926;VISA;COMMERCIAL BANK MASTER-BANK
402927;VISA;COMMERCIAL BANK MASTER-BANK
402928;VISA;CB BANK OF HIGH TECHNOLOGIES LLC
402932;VISA;ZHELDORBANK JSB
